"","X1","X","x"
"1","1",1,21178
"2","2",1,12450
"3","3",1,41400
"4","4",1,25135
"5","5",1,11378
"6","6",1,21577
"7","7",1,13893
"8","8",1,10814
"9","9",1,17196
"10","10",1,44568
"11","11",1,33559
"12","12",1,53060
"13","13",1,52241
"14","14",1,57606
"15","15",1,45965
"16","16",1,48130
"17","17",1,62031
"18","18",1,77270
"19","19",1,93837
"20","20",1,822767
"21","21",1,847258
"22","22",1,656904
"23","23",1,525715
"24","24",1,0
"25","25",1,181854
"26","26",1,13937
"27","27",1,7950
"28","28",1,18193
"29","29",1,38415
"30","30",1,18994
"31","31",1,20112
"32","32",1,9484
"33","33",1,15839
"34","34",1,15517
"35","35",1,18660
"36","36",1,6596
"37","37",1,13512
"38","38",1,20906
"39","39",1,3270
"40","40",1,14737
"41","41",1,5592
"42","42",1,3699
"43","43",1,16035
"44","44",1,12871
"45","45",1,5991
"46","46",1,18036
"47","47",1,15929
"48","48",1,16059
"49","49",1,6526
"50","50",1,10131
"51","51",1,29946
"52","52",1,8712
"53","53",1,5769
"54","54",1,6864
"55","55",1,11109
"56","56",1,8942
"57","57",1,11627
"58","58",1,9404
"59","59",1,10761
"60","60",1,23915
"61","61",1,2628
"62","62",1,6306
"63","63",1,4503
"64","64",1,9559
"65","65",1,12305
"66","66",1,7879
"67","67",1,8397
"68","68",1,11196
"69","69",1,6252
"70","70",1,1078
"71","71",1,11812
"72","72",1,10386
"73","73",1,828
"74","74",1,8991
"75","75",1,2827
"76","76",1,10676
"77","77",1,5580
"78","78",1,10376
"79","79",1,6597
"80","80",1,10846
"81","81",1,14469
"82","82",1,5280
"83","83",1,7990
"84","84",1,25332
"85","85",1,15386
"86","86",1,6365
"87","87",1,1307
"88","88",1,4160
"89","89",1,3657
"90","90",1,2586
"91","91",1,3785
"92","92",1,10356
"93","93",1,4146
"94","94",1,3877
"95","95",1,2296
